1 100 100 100 100 100 100 100 100
1 -50 -50 100 100 100 100 100 100
2 -50 -50 -50 -50 -50 -50 -50 100
3 25 25 25 -50 -50 25 -50 -50
4 25 25 -13 25 -50 -13 -50 25
5 -13 25 -13 25 -50 -13 -50 -13
6 -13 -13 6 -13 25 6 -50 -13
7 -13 -13 -3 -13 25 6 25 6
8 6 -13 -3 6 -13 -3 25 6
9 -3 6 1 6 -13 1 -13 -3
10 -3 6 1 6 -13 1 -13 -3
11 -3 -3 1 6 -13 1 -13 -3
12 1 1 1 6 -13 1 -13 -3
13 1 1 1 6 -13 1 -13 -3
14 1 1 1 6 -13 1 -13 -3
15 1 1 1 6 -13 1 -13 -3
16 1 1 1 6 -13 1 -13 -3
17 1 1 1 6 -13 1 -13 -3
18 1 1 1 6 -13 1 -13 -3
19 1 1 1 6 -13 1 -13 -3
20 1 1 1 6 -13 1 -13 -3
21 1 1 1 6 -13 1 -13 -3
22 1 1 1 6 -13 1 -13 -3
23 1 1 1 6 -13 1 -13 -3
24 1 1 1 6 -13 1 -13 -3
