1 100 100 100 100 100 100 100 100
1 200 200 200 200 200 200 200 200
2 150 150 300 300 300 300 300 300
3 100 100 250 250 250 250 250 400
4 125 125 275 200 200 275 200 350
5 150 150 262 225 150 262 150 375
6 137 175 249 250 100 249 100 362
7 124 162 255 237 125 255 50 349
8 111 149 252 224 150 261 75 355
9 117 136 249 230 137 258 100 361
10 114 142 250 230 137 258 100 361
11 111 148 251 230 137 258 100 361
12 108 145 252 230 137 258 100 361
13 109 145 252 230 137 258 100 361
14 110 145 252 230 137 258 100 361
15 111 145 252 230 137 258 100 361
16 112 145 252 230 137 258 100 361
17 113 145 252 230 137 258 100 361
18 114 145 252 230 137 258 100 361
19 115 145 252 230 137 258 100 361
20 116 145 252 230 137 258 100 361
21 117 145 252 230 137 258 100 361
22 118 145 252 230 137 258 100 361
23 119 145 252 230 137 258 100 361
24 120 145 252 230 137 258 100 361
