290.349	288.24	3.979	0.001	30.525	1003.594	-1	0
289.857	288.528	4.121	0.001	33.026	1003.692	-1	0
289.844	286.932	3.707	0.001	29.777	1003.738	-1	0
289.844	287.838	3.81	0.001	29.798	1003.86	-1	0
289.777	287.571	3.794	0.001	31.186	1003.914	-1	0
289.795	286.797	3.712	0.001	32.272	1003.972	-1	0
289.666	287.016	3.567	0.001	29.146	1003.988	-1	0
289.478	287.221	3.732	0.001	31.058	1004.058	-1	0
289.602	287.242	3.654	0.001	30.715	1004.104	-1	0
289.387	287.397	3.679	0.001	29.882	1004.03	-1	0
289.469	286.951	3.615	0.001	31.057	1003.992	-1	0
289.218	287.214	3.656	0.001	30.74	1004.022	-1	0
289.261	287.429	3.628	0.001	30.427	1004.052	-1	0
289.258	286.868	3.556	0.001	30.175	1004.074	-1	0
289.197	286.291	3.476	0.001	31.01	1004.114	-1	0
289.146	287.469	3.739	0.001	30.591	1004.114	-1	0
289.249	287.326	3.51	0.001	29.874	1003.988	-1	0
289.142	287.38	3.34	0.001	27.357	1004.026	-1	0
289.112	287.515	3.482	0.001	28.749	1004.026	-1	0
289.077	286.735	3.501	0.001	30.142	1004.118	-1	0
289.008	286.132	3.51	0.001	30.349	1004.086	-1	0
289.011	287.051	3.435	0.001	29.158	1004.134	-1	0
288.768	286.456	3.309	0.001	28.72	1004.204	-1	0
288.559	287.028	3.554	0.001	29.379	1004.136	-1	0
288.393	286.672	3.576	0.001	31.341	1004.166	-1	0
288.477	286.316	3.585	0.001	31.071	1004.228	-1	0
288.45	287.184	3.528	0.001	29.199	1004.274	-1	0
288.455	286.698	3.371	0.001	28.597	1004.214	-1	0
288.332	286.698	3.692	0.001	31.831	1004.31	-1	0
288.136	286.438	3.456	0.001	28.739	1004.368	-1	0
288.16	286.59	3.395	0.001	28.602	1004.442	-1	0
288.428	287.014	3.351	0.001	28.411	1004.432	-1	0
288.502	286.389	3.289	0.001	29.541	1004.422	-1	0
288.495	286.379	3.162	0.001	28.478	1004.382	-1	0
288.453	286.769	3.277	0.001	28.552	1004.416	-1	0
288.511	286.403	3.08	0.001	27.027	1004.272	-1	0
288.439	286.363	3.074	0.001	27.714	1004.4	-1	0
288.575	286.886	2.874	0.001	25.506	1004.294	-1	0
288.685	285.403	2.815	0.001	26.188	1004.284	-1	0
288.465	286.306	2.979	0.001	27.289	1004.262	-1	0
288.47	286.249	2.931	0.001	26.474	1004.35	-1	0
288.381	286.764	2.952	0.001	26.89	1004.05	-1	0
288.337	286.115	2.826	0.001	25.571	1004.394	-1	0
287.956	285.667	2.864	0.001	27.088	1004.478	-1	0
287.933	285.989	2.887	0.001	26.944	1004.536	-1	0
288.099	285.236	2.604	0.001	24.672	1004.53	-1	0
287.757	285.36	2.63	0.001	24.94	1004.726	-1	0
287.572	285.898	2.824	0.001	26.598	1004.68	-1	0
287.425	285.826	3.101	0.001	28.334	1004.7	-1	0
287.425	285.423	2.834	0.001	27.152	1004.594	-1	0
287.322	284.458	2.71	0.001	27.884	1004.678	-1	0
287.311	285.115	2.616	0.001	25.489	1004.59	-1	0
287.065	285.378	2.837	0.001	27.672	1004.676	-1	0
287.233	285.075	2.629	0.001	26.022	1004.72	-1	0
287.286	284.137	2.443	0.001	25.07	1004.73	-1	0
287.069	285.4	2.637	0.001	26.227	1004.742	-1	0
287.295	285.398	2.547	0.001	25.59	1004.484	-1	0
287.246	284.144	2.325	0.001	25.095	1004.226	-1	0
287.271	285.324	2.348	0.001	23.156	1004.454	-1	0
287.16	284.226	2.602	0.001	28.707	1004.632	-1	0
286.935	284.902	2.765	0.001	28.554	1004.748	-1	0
286.859	284.47	2.551	0.001	26.649	1005.004	-1	0
286.85	283.885	2.405	0.001	27.06	1004.99	-1	0
286.646	284.667	2.491	0.001	25.044	1005.082	-1	0
286.65	284.916	2.51	0.001	25.165	1005.306	-1	0
286.579	284.649	2.363	0.001	24.248	1005.21	-1	0
286.594	283.502	2.233	0.001	23.932	1005.352	-1	0
286.583	284.009	2.195	0.001	24.068	1005.384	-1	0
286.36	284.063	2.195	0.001	22.703	1005.372	-1	0
286.443	284.092	2.243	0.001	24.42	1005.288	-1	0
286.388	284.379	2.372	0.001	26.368	1005.222	-1	0
286.319	283.527	2.157	0.001	24.182	1005.25	-1	0
286.118	283.693	2.169	0.001	24.402	1005.194	-1	0
286.154	283.182	2.193	0.001	25.403	1005.362	-1	0
286.081	283.687	2.117	0.001	24.117	1005.352	-1	0
286.155	283.335	2.094	0.001	25.274	1005.212	-1	0
286.217	283.091	2.007	0.001	24.105	1005.172	-1	0
286.137	283.76	2.153	0.001	24.132	1005.154	-1	0
286.18	283.415	2.125	0.001	25.385	1005.1	-1	0
285.996	283.882	2.188	0.001	23.852	1004.884	-1	0
285.998	283.581	2.128	0.001	24.932	1005.098	-1	0
285.767	283.621	2.221	0.001	25.231	1004.788	-1	0
285.73	282.786	2.191	0.001	26.1	1004.942	-1	0
285.636	283.413	2.015	0.001	23.608	1005.206	-1	0
285.68	282.637	2.121	0.001	26.785	1005.242	-1	0
285.577	282.608	2.246	0.001	27.596	1005.414	-1	0
285.551	282.245	1.961	0.001	25.039	1005.502	-1	0
285.264	284.489	2.175	0.001	22.45	1005.518	-1	0
285.228	282.39	2.079	0.001	25.163	1005.548	-1	0
285.168	282.616	2.065	0.001	25.456	1005.656	-1	0
285.403	282.81	2.302	0.001	28.075	1005.522	-1	0
